,0,1
285,arctic pink/sail - leche blue,4
286,blazer,5
287,air jordan,7
288,style #,77
289,style no.,90
290,bin#,4
291,color 1,1
292,sole's lenght,14
293,color 3,1
294,itembrand,28
295,itemmpn,21
296,colorway,103
297,¥ color,2
298,inventory no,1
299,shack product #,8
300,uk shoe size men;s,1
301,shipping information,34
302,nike,34
303,adidas,16
304,sizescale,65
305,women size,6
306,bundle listing,31
307,adidas alphabounce beyond size 16,1
308,oakley item number,8
309,made in,31
310,adidas alphabounce beyond size 15,1
311,type drawstring,3
312,flats,14
313,yosi samra,14
314,predominant color,1
315,measurement,8
316,decade,7
317,vintage,6
318,releasedate,6
319,product #,4
320,id,2
321,ships in,50
322,style-colorway,22
323,subject,1
324,carefully printed at,1
325,artist,2
326,size shoes us,30
327,colourway,5
328,foot pronation,1
329,msrp new,1
330,us womens size,10
331,seller note,2
332,jordan,28
333,sku#,120
334,women's sz,1
335,european shoe size men's,2
336,country////region of manufacture,11
337,default size,1
338,the dominant color,44
339,832819 101,1
340,secondary colors,8
341,part number,165
342,mean colour,109
343,height,10
344,name,34
345,manufacture style #,4
346,item code,65
347,additional color,1
348,br-b21-white-m,1
349,collaboration,16
350,pack,6
351,material upper,30
352,article modified,38
353,character/family,3
354,closure type,10
355,sport types,2
356,item,8
357,2-3 days shipping,2
358,designer,22
359,art no.,2
360,all item 100% authentic guaranteed!,7
361,edition,6
362,textile / sole,3
363,care instruction,20
364,toe cap material,1
365,running shoe,1
366,applicable place,7
367,department name,6
368,sports type,3
369,outsole material,9
370,shoe inside,1
371,running shoes seasons,1
372,british knights id#,1
373,rare hard to find,1
374,us shoe size women’s,6
375,pattern.,9
376,item number,63
377,exchange only! bb8117,1
378,tennis shoes,1
379,inventory #,58
380,eur shoe size men's,19
381,men women,64
382,us size type,8
383,clothing type,2
384,mens uk size,2
385,please see link,2
386,available size,2
387,us shoes,1
388,schuhgröße,4
389,uk-schuhgröße,2
390,modell,6
391,the 10,4
392,us shoe size mens,6
393,features 1,3
394,features 5,3
395,features 2,3
396,features 4,3
397,features 3,3
398,us men's size,1
399,listed by,5
400,women's shoe size,5
401,modified article,3
402,product series,21
403,women's eu size,2
404,item type keywords,9
405,3.xlw,2
406,m,3
407,inner sole,1
408,code,11
409,store use,4
410,msrp price tag new,8
411,globalstatus,12
412,color grey,1
413,casual shoes sneakers athletic shoe,1
414,u.k. size,17
415,producttypename,11
416,packagequantity,12
417,studio,29
418,shoe name,8
419,corpulence,1
420,weight with packaging,7
421,the dominant pattern,3
422,style number - color code,2
423,stock #,84
424,date codes,2
425,xxs,1
426,mpc,27
427,league,3
428,ebay_category_id,21
429,ebay_category_suggestion,22
430,nike style number,2
431,eur,14
432,vamp,2
433,insole material,7
434,manufacture style name,1
435,manufacture style number,9
436,uk size men's,3
437,air max 95,4
438,black / rush blue,2
439,uk women's,1
440,europe men's,1
441,europe women's,1
442,women's size usa,1
443,original all,1
444,sizes,31
445,9m  womens,5
446,players' collections,13
447,manufacturer_part_number,4
448,fr size,11
449,lebron xvi sb,9
450,white / varsity red,9
451,inventory status,3
452,loc,6
453,np,4
454,women's size  us,3
455,gucci size,10
456,nike item number,31
457,asin,27
458,item weight,24
459,rrp_gbp,2
460,2,2
461,stil,14
462,farbe,9
463,pants style,1
464,model features,5
465,us women size,1
466,inv stat,1
467,xwide,13
468,depth,18
469,jp shoe size,1
470,styles,4
471,genre,3
472,itempartnumber,5
473,uk size mens,4
474,function,4
475,upper height,4
476,fit,11
477,for distance,6
478,item condition,6
479,stock # cruise,5
480,new with box,2
481,100% authentic,1
482,gender men,1
483,return,3
484,trim,9
485,black / volt - white,1
486,vapormaxplus,1
487,exact material,10
488,worn,1
489,safety,1
490,all original,2
491,manufacturer part number,50
492,assembled product dimensions l x w x h,4
493,color name,2
494,footbed/ insole length,2
495,feature1,5
496,feature4,3
497,feature3,4
498,feature2,5
499,series,3
500,item#,6
501,adidas colorway,10
502,performance,9
503,spikes type,13
504,attribute,1
505,design,3
506,style#,25
507,series#,1
508,feature5,4
509,leather   outsole,4
510,hyperdunk zoom hyper running,1
511,rare,20
512,men's puma basket ripstop ic sneakers,1
513,measurements,8
514,br,11
515,label#,1
516,manufacture date,2
517,pack quantity,1
518,haz-mat,1
519,maximum comfort,1
520,bullet point 5,1
521,dependable support,1
522,unrelenting toughness,1
523,bullet point 7,1
524,bullet point 4,1
525,bullet point 6,1
526,prop 65,1
527,barcode,7
528,stock number,4
529,original/reproduction,18
530,widest,2
531,length measurement in bottom,2
532,rn#,1
533,pattern/texture,4
534,air zoom huarache 2k4 grey/blue/white 308475-002 size,1
535,textile; outsole,3
536,additional colour details,2
537,garmen care,2
538,rrp,2
539,measurements approx. laid flat cm,2
540,numéro de pièce fabricant,4
541,marque,17
542,store item#,3
543,nicknames,1
544,trail-running shoe type,1
545,number,5
546,2016 vans us open surf,1
547,ltd edition,1
548,seller inventory #,4
549,objet modified,6
550,boot type,15
551,shoe shaft height,1
552,athletic shoes,1
553,colour map,1
554,outer packaging,4
555,package weight,11
556,item dimensions,6
557,number of items,9
558,package quantity,11
559,catalog,39
560,options,6
561,mens,2
562,player exclusive,1
563,features &amp;amp;amp; fastening,1
564,features &amp;amp; fastening,1
565,date,2
566,other id numbers,1
567,jp size,9
568,chn size,4
569,limited edition,3
570,suggested retail price,5
571,eur size,18
572,jordans,2
573,shoes,2
574,msrp  $59.99,1
575,multi-colored,1
576,manufacturers suggested retail price,1
577,uk shoe sizemen's,6
578,jp shoe size men's,6
579,linning,9
580,suggested retail,7
581,jan,9
582,shipping tracking,9
583,region or country,9
584,model year,3
585,size shoe us,3
586,size shoes cms,23
587,style type,4
588,celebration,1
589,size shoes eur,1
590,supplier reference,6
591,sizetype,8
592,shoe size women´s us,2
593,size uk,6
594,collab name,1
595,eur shoe size,6
596,exact color,9
597,black / laser fuchsia - anthracite,6
598,usp,1
599,main category,15
600,original or reproduction,3
601,couleur,9
602,010819,1
603,team red / midnight spruce,3
604,air max 97,4
605,youth size comparison,2
606,jpn,1
607,lebron witness ii,1
608,manufactured by,1
609,category group,1
610,product group,1
611,brand name,1
612,sport type,2
613,cm shoe size,19
614,copyright year,1
615,column1,12
616,fast & free shipping?,2
617,http,2
618,shoe width,10
619,international shipping?,5
620,warning,18
621,outside width,4
622,outside length,4
623,closure1,3
624,us10 / air max,1
625,trim color,5
626,10 / wmns,1
627,air yeezey men's,1
628,508214-660,1
629,women's air yeezy size 9.5,1
630,kanye west sneakers,1
631,comes with,2
632,fabric content,3
633,platform height,2
634,outsole width,2
635,total height,2
636,outsole length,3
637,nike men's sneakers,1
638,dress occasion,10
639,color way,2
640,toe style,14
641,branding,3
642,since the shoes is vintage collection al,2
643,brand type,13
644,itmnumber,2
645,satisfaction,7
646,original release date,3
647,number of discs,2
648,audio cd,2
649,exchange only!tax will apply!aa4083-007,1
650,us shoe size ladie's,1
651,sales are final exchange only! mz501tld,6
652,chn,6
653,two available sizes,1
654,new balance sneakers,1
655,black / black - metallic gold,5
656,footbed length; footbed width,4
657,toe type,5
658,vans vault,1
659,version,2
660,ddl,1
661,marka,1
662,us women,2
663,cushioning,1
664,athlete,10
665,motto,1
666,california residents,8
667,waterproof,10
668,10m  womens,11
669,11m  womens,5
670,sports,6
671,style / model #,6
672,black/grey,1
673,style color code,8
674,video game series,1
675,jacket length,3
676,country/region of origin,1
677,us shoe size womens,14
678,item width,21
679,uk sz,1
680,cm shoe size men's,5
681,golf shoe type,8
682,heel-to-toe drop,1
683,alternate uses,1
684,nike colorway,6
685,#j,11
686,length insole,1
687,additional features,12
688,100% microfiber + 100%silica + sole,1
689,women us size,2
690,size chart,6
691,volt green,1
692,foot size,2
693,rocker,1
694,team colors,4
695,pictures of current and older styles,2
696,10-11m / us m,1
697,upper color,2
698,032019,3
699,manufacturer recommended age,2
700,20mm. forefoot height,1
701,black / metallic gold,11
702,rs 13,1
703,discontinued by manufacturer,2
704,inventory location,6
705,outsole measurement,1
706,insole measurement,1
707,futter,11
708,obermaterial,11
709,artikelnummer,2
710,nach höhe,1
711,herstellernummer,4
712,sohle,10
713,item stock number seller use only,1
714,60 day free returns,4
715,womans size,2
716,men's 10.5/ or women's 12,1
717,size men 8/or women's 9.5,1
718,manufacturers' color,4
719,ref#,5
720,accessory type,2
721,number in pack,2
722,boys   color,1
723,country of origin,26
724,gucci shoe size,1
725,multicolor,1
726,light bone / black - crimson tint,2
727,manufacturer's size,2
728,inspiration,4
729,hybrid models,3
730,special size type,3
731,pattern type,3
732,stlye name,2
733,trending,3
734,secondary color,5
735,6/ women's,1
736,casual,1
737,blue dusk / black / anthracite,9
738,athletic shoe type,4
739,release date,15
740,technology,5
741,sole width in inches,2
742,sole length in inches,2
743,decoration,1
744,decoration 2,1
745,insole / footbed length in inches,1
746,adidas original,4
747,technologies,5
748,uk size 10.5,1
749,manufacture_country,3
750,nike air jordan,2
751,apc 011001,1
752,black / white - black,1
753,city/region,1
754,inner markings,1
755,inner markings 2,1
756,colorway 2,3
757,gazelle primeknit,1
758,dark blue/ red,1
759,women’s us size,1
760,size womens,1
761,us shoe sizemen's,2
762,sub-style,4
763,flaw,1
764,laces,2
765,color details,1
766,this item,1
767,second colour,1
768,original retail price in 2009,1
769,us10.5 white,1
770,us10.5 green,1
771,sole length,2
772,us8 1/2 kids,1
773,item type,1
774,lining material,4
775,shoes type,1
776,sport shoes,1
777,producttypesubcategory,4
778,new  year,1
779,mpn/model #,2
780,handeling,1
781,designer/brand,3
782,platformheight,2
783,inner material,4
784,exact heel height,4
785,11,1
786,ebay product id,1
787,ziggy stardust/red/blac,1
788,old skool,2
789,39,1
790,vendor description,9
791,exchange only!tax will apply!651541-004,1
792,exchange only!tax will apply!vn0a3dq5ubv,2
793,band type,1
794,band color,1
795,case color,1
796,amputee,1
797,important note,2
798,sf season,5
799,sports types,1
800,feature6,3
801,removable insole other features,1
802,year made,1
803,compatible brand,2
804,compatible model,2
805,size advice cont,4
806,colour on box,1
807,'a' grade or 'b' grade?,1
808,style numbar,2
809,french size,3
810,japanese size,1
811,chinese size,1
812,s.i. number,3
813,modell nummer,1
814,absatzform,1
815,modell name,1
816,präzise farbe,2
817,weite,1
818,absatzhöhe,1
819,verschluss,4
820,sk8-hi color,1
821,jordan p.i.t. high flyer,1
822,events,2
823,original release year,2
824,golden harvest / black - sail,1
825,8 1/2,1
826,sell#,2
827,store code,3
828,jp,3
829,fr,4
830,shaft measurement,2
831,other features,3
832,with,3
833,great for,3
834,game name,1
835,centimeters,1
836,bin#18,2
837,object type,1
838,meteor grey/college navy,1
839,chaulk/alloy/white/gum,1
840,notes,7
841,merrell color,1
842,aj 1 gold toe,2
843,pure platinum / metallic gold,4
844,nike code,2
845,heelys,3
846,shelf id number,8
847,style # 524862 300,1
848,mex shoe size,1
849,style numbers,1
850,same day shipping,1
851,collar,1
852,bonus gift-#1,1
853,bonus gift-#2,1
854,bonus gifts,3
855,bonus gift #2,2
856,bonus gift #1,2
857,$ 85,1
858,nola 3,1
859,under armour,1
860,color number,3
861,size japan,5
862,style-color,5
863,related models,2
864,refund will be given as,3
865,item must be returned within,3
866,return shipping will be paid by,3
867,restocking fee,3
868,all returns accepted,3
869,$68,2
870,other closure,1
871,objet modifié,2
872,prop 65 warning,1
873,100% nike product,1
874,jeans,2
875,product line 2,2
876,lw,1
877,neckline,4
878,shearling / inner material,1
879,package included,1
880,year released,5
881,mfgr. suggested retail price,4
882,accent color,2
883,pattern style,1
884,types,3
885,recommended events,2
886,roman numeral,1
887,manufacturersku,1
888,productname,1
889,qty,1
890,sitecost,1
891,siteprice,1
892,insole set,1
893,pre & post season,3
894,idt-mpn,2
895,new balance,6
896,itempackagequantity,1
897,standards,1
898,wide,1
899,safety standards,2
900,footwear width,1
901,footwear style,1
902,predominant footwear color,1
903,variant style,3
904,schutyp,1
905,years,2
906,under armor technologies,1
907,platform,2
908,kobe,1
909,white / del sol - varsity purple,1
910,style2,1
911,synthetic/mesh upper 8 mm drop,1
912,seller notes,2
913,heel to toe,2
914,width at widest point,1
915,wall to toe,1
916,mode,3
917,original production date,2
918,rise style,1
919,bestoffer,2
920,ref. product,1
921,ean/upc,3
922,style  number,2
923,manufacture,9
924,outer_material_type,6
925,size map,6
926,manufacturer's suggested retail price,1
927,color map,6
928,all sales are final exchange only,2
929,the original collection shoes,2
930,article number,3
931,custom detail,2
932,official nba size and weight,1
933,5.5-6.0/us big kid,1
934,rocker shoes,1
935,8  w,1
936,311046-103,1
937,matière,4
938,5m  womens,1
939,inner width fr outside,2
940,inner length fr outside,2
941,leg,1
942,free returns,4
943,vendor color,1
944,fit - runs true,7
945,fashion,1
946,fashion 1,1
947,arch support,2
948,insole length,3
949,toddler size,1
950,upc code,2
951,s/c,1
952,us shoes size men's,1
953,nike shoe id,1
954,list price,2
955,site price,2
956,europe size,2
957,cx,2
958,dt,2
959,all weather - ultracush,1
960,k-swiss,1
961,country / region of manufacture,3
962,cache,1
963,sn,4
964,grey blue  code,1
965,special,1
966,mfp,1
967,lace locks,1
968,uk size is 6,1
969,mossy oak,1
970,hoodie,1
971,innenmaterial,2
972,anlass,2
973,geschlecht,2
974,added arch support,1
975,breathable mesh underlays with,1
976,heel to toe drop,1
977,insole imeva,1
978,upper mesh,1
979,stabilizing,1
980,padded,3
981,vans vault inside out collection,1
982,other materials,1
983,rc,9
984,european size,3
985,fsn pnk/ejavascript,1
986,,2
987,productline,1
988,11-12/men,2
989,calf width,1
990,white/navy/red,1
991,supra,1
992,face of this collection,1
993,sikhoutte,2
994,no tax,5
995,jpn size,2
996,new in box,2
997,color variation,2
998,hu holi,2
999,us,3
1000,size shoes us women´s,1
1001,box condition,2
1002,ship to nevada?,2
1003,original manufacturer's packaging,1
1004,saize shoe cms,2
1005,uk sizing,3
1006,size womens us,1
1007,womens us size,5
1008,samba,1
1009,additional colors,4
1010,event,2
1011,sipped priority mail with tracking,5
1012,us youth size,1
1013,air max 720,2
1014,metallic silver / black,2
1015,16,1
1016,product style,3
1017,u.s women's size,1
1018,womens size comparison,3
1019,lt orewood brn / laser orange,1
1020,react,1
1021,men's size,3
1022,icn,1
1023,uk.shoes size men's,1
1024,color group,1
1025,mens hiking shoes,1
1026,level of practice,3
1027,mountaineering shoes,1
1028,hiking shoes for men,1
1029,hiking boots women,1
1030,hiking boots men,1
1031,garment care,1
1032,heel to toe inside of shoe,1
1033,widest part of sole,1
1034,heel to toe bottom of sole,1
1035,wmns size,1
1036,style # / mpn,1
1037,current value,1
1038,jahr,2
1039,shelf id #,1
1040,clu600001 art g59482,1
1041,nike style #,2
1042,logo color,1
1043,u.s. shoe size women's,2
1044,production date,1
1045,us mens,5
1046,gtin,3
1047,exchange only!tax will apply!725173-113,1
1048,rejuvenate,1
1049,water proof,1
1050,elements,1
1051,upper hight,1
1052,us shoe size woman's,1
1053,10.5-11m,1
1054,uk men's shoe size,2
1055,nike bowerman,2
1056,track & field shoes,2
1057,nike bowerman series,2
1058,bowerman series,2
1059,bowerman series size 14,2
1060,nike cleats,2
1061,nike style,1
1062,upper lining,1
1063,norisk guarantee,4
1064,item location,5
1065,service,6
1066,item package quantity,4
1067,best product,4
1068,number of units,1
1069,unit of measure,1
1070,lgs size,1
1071,305381 004 men,1
1072,black / light concord - aloe verde,1
1073,8m  womens,3
1074,ua,1
1075,type of sole,2
1076,gucci stamped size,3
1077,eu size,2
1078,art number,1
1079,sport 2,2
1080,original model year,1
1081,serial number,1
1082,shctr b,1
1083,1.382 x h,1
1084,shipping cost,3
1085,couleur dominante,1
1086,style de produit,1
1087,f size,5
1088,produktlinie,2
1089,produktnummer,2
1090,muster,2
1091,schuhtyp,2
1092,herstellungsland und -region,1
1093,capellada,1
1094,cn,1
1095,main material,1
1096,or other reproductive harm. add details about the warning you want to show california buyers. we'll add a warning symbol and the word 'warning,2
1097,unreleased samples,2
1098,creator,2
1099,power,1
1100,line name,3
1101,white / black,1
1102,lebron james xvi,1
1103,50th anniversary ltd. edition,1
1104,sellers inventory #,1
1105,shade material,1
1106,batteries required?,1
1107,voltage,1
1108,shape,1
1109,assembled width,1
1110,fixture features,1
1111,power source,1
1112,size advice,3
1113,white/black made in,1
1114,mens color,1
1115,profession,1
1116,nike model no.,1
1117,womens size us,2
1118,men's,1
1119,black / universite red - white,1
1120,réf. produit,1
1121,details,6
1122,women,3
1123,black / black - university red,1
1124,availability,1
1125,uk men's size,4
1126,air jordan low,1
1127,country region of manifacture,1
1128,crimson tint / hyper pink - black,2
1129,air jordan 1,4
1130,orginal size,2
1131,e,1
1132,foamposite,1
1133,midnight navy / midnight navy,1
1134,women’s size,3
1135,womens size usa,2
1136,fishing type,1
1137,pays de fabrication,2
1138,pointure,2
1139,converse femmes pointure 36,1
1140,gamme de produits,2
1141,actual width,1
1142,also fit women's shoe size,1
1143,specifics,1
1144,nike color,2
1145,exchange only! tax will apply! by8711,1
1146,fasterning,2
1147,boy's size,1
1148,syntheticjavascript,1
1149,description,4
1150,cd6846 102 men,1
1151,retro 11 low le,1
1152,cd6848 102 ps,1
1153,material1,1
1154,color2,1
1155,leather/nylon; outsole,1
1156,punk rock skater skateboard rock n roll,1
1157,pln,1
1158,very comfortable,1
1159,heel,1
1160,adidas art #,1
1161,a,1
1162,dual laces,1
1163,date first available,2
1164,spikes,2
1165,toe,3
1166,da negozio reale e autorizzato,1
1167,11 m us suitable foot length,1
1168,featured refinement,1
1169,rubber sole,2
1170,size for,1
1171,fit for men shoes,1
1172,boxed-product weight,2
1173,art #,5
1174,year of manufacture,1
1175,sleeve style,1
1176,athletic,1
1177,model data,1
1178,pattern #,1
1179,p10,1
1180,zoom rival,1
1181,item cod,1
1182,insulation,6
1183,gortex,1
1184,59,1
1185,toy type,1
1186,character type,1
1187,character gender,1
1188,media,1
1189,nike men's shoes,1
1190,us show size women's,1
1191,palace skateboards,1
1192,8 mm drop,2
1193,bottom,2
1194,model 2,1
1195,free shipping return,1
1196,free shipping,1
1197,no sale tax,1
1198,shipping from usa,1
1199,special size,1
1200,p     u    m     a,1
1201,msrp $75.00,1
1202,calif. prop 65 warning,3
1203,women size us,1
1204,foot type,1
1205,properties,1
1206,degree of depreciation,1
1207,surface type,1
1208,type of fastening,1
1209,special features include,1
1210,quality,1
1211,shaft measures,1
1212,product no.,1
1213,description 3,1
1214,description 5,1
1215,description 4,1
1216,description 1,1
1217,description 2,1
1218,description 6,1
1219,shoe year,3
1220,shctr b/o,1
1221,shack pronduct #,1
1222,accent,1
1223,women 7.  . men size,1
1224,extra wide,1
1225,exchange only!tax will apply!366252-02,1
1226,style.,1
1227,sizing,1
1228,subcategory,1
1229,box,1
1230,us shoe size  women's,1
1231,produktserie,2
1232,sneakers business class black leather t 41,1
1233,29,1
1234,8.5-9.5/men,1
1235,size on shoe,1
1236,sole color,1
1237,gray,1
1238,54,1
1239,imperfection,1
1240,detail,1
1241,"air jordan, gift of flight",1
1242,kids size,1
1243,midsole,2
1244,foot bed,1
1245,wo's shoe size,1
1246,us size men's,1
1247,graffiti,1
1248,womens usa size,2
1249,runs true,2
1250,insole in inches,1
1251,insole in centimeters,1
1252,removable footbeds,1
1253,pointure de chaussures é.-u. hommes,1
1254,string / total orange,1
1255,air max 95 og,1
1256,penn state training shoe,1
1257,style / occasion,1
1258,jordan 11,1
1259,378037 123,1
1260,weight each,1
1261,sub-brand,1
1262,art,1
1263,nike spikes,1
1264,silver,1
1265,silver & black,1
1266,black,1
1267,spn,1
1268,type of shirt fit,1
1269,other brands in this lot,1
1270,other colors,1
1271,measure for fit,1
1272,bin#18rs,2
1273,make,1
1274,13/2-sz,1
1275,feature 2,2
1276,manufacturer number,1
1277,purchase includes,1
1278,production facility,1
1279,spikes included,1
1280,vapormax 95,1
1281,black / volt - medium ash,1
1282,detailed color,3
1283,brand2,2
1284,ladies us shoe size,1
1285,sellers code,3
1286,slogan,1
1287,special note,1
1288,51,1
1289,men's nike shoes,3
1290,nike sb,1
1291,msrp $ 70,1
1292,haupt material,2
1293,shoe sole,2
1294,inventory number,4
1295,abbn,2
1296,190325250171,1
1297,fr sizing,1
1298,4/women's size,1
1299,nikcname,1
1300,mens basketball sneakers,1
1301,signature,1
1302,msrp $50.00,1
1303,shox 2,1
1304,size shoes us wmns,1
1305,size shoes us mens,3
1306,cms shoe size,1
1307,size shoes us womens,2
1308,merrell allpeak,1
1309,breast cancer awareness,3
1310,kevin durant,3
1311,mpn 1,2
1312,new shoe,1
1313,footbed / insole length in inches,1
1314,key words,1
1315,adidas  explosive bounce 2018 size 11,1
1316,california,1
1317,10.5 / r,1
1318,2e r,1
1319,style 2,1
1320,seller inventory number,1
1321,issue,1
1322,it 36,1
1323,additional color information,1
1324,us9.5 blue,1
1325,shctr b/gy,1
1326,publicationdate,3
1327,product color,1
1328,exclusive release,1
1329,important,1
1330,availables size,1
1331,return policy,1
1332,laser orange / black - blue orbit,1
1333,air max 270,1
1334,codice articolo,1
1335,modello,1
1336,codice interno,1
1337,10; baseball shoes,1
1338,44; basketball,1
1339,nike zoom; baseball,1
1340,basketball,1
1341,10 xxlength,1
1342,9.5m  womens,1
1343,bag height,1
1344,bag depth,1
1345,bag length,1
1346,reebok,1
1347,blouse,1
1348,10.5m  womens,2
1349,shoe model,1
1350,manufacturer product number mpn,1
1351,size men 9.5/or women 11,2
1352,outsold width,1
1353,length in centimeters,1
1354,usa,1
1355,graphic designer,2
1356,limited release,2
1357,sold out,2
1358,model theme,1
1359,type of advertising,1
1360,5.5-6.5 kids,1
1361,servicio,1
1362,usa shipping,1
1363,##,2
1364,factory,1
1365,sizes available,1
1366,other,1
1367,9.5 / women,1
1368,uk mens size,1
1369,boot shaft height,1
1370,my stock #,1
1371,occassion,1
1372,062018,1
1373,retro 11,1
1374,year first available,1
1375,centimeter size,2
1376,blue dusk / black - anthracite,1
1377,sole construction,1
1378,original season,1
1379,italian size,2
1380,uk size / lv size,2
1381,boys,1
1382,womens shoe size u.s.,1
1383,cleat compatibility,1
1384,footbed length,1
1385,model no,3
1386,exact color name,1
1387,total length,1
1388,midfoot,1
1389,synthetic leather,1
1390,100% warranty and best service,1
1391,by,1
1392,from the country,1
1393,size shoes cm,1
1394,womens us shoe size,1
1395,defect,1
1396,size women´s us,1
1397,nike zoom soldier vii tb style,1
1398,fits small,1
1399,black / varsity red,2
1400,air force 1,1
1401,black / black - white,1
1402,original size,1
1403,$149.99 shoe,1
1404,pn,1
1405,running shoes color,1
1406,men's us,1
1407,fasten,2
1408,air jordan 6,1
1409,multipack,2
1410,us9.5 kids,1
1411,product/color code,1
1412,black and green foamposites,1
1413,men's basketball shoes size 12,1
1414,men's nike air max size 12,1
1415,nike air foamposites men's size 12,1
1416,nike foamposite one,1
1417,mpn.,1
1418,printed,2
1419,exchange only 870614-001,1
1420,player edition,1
1421,production,1
